event_id,event_ts,plant,line,shift,machine_id,operator_id,machine_age_yrs,material_grade,temp_c,humidity_pct,process_speed_units_hr,inspection_method,defect_type,defect_severity_0to3,decision_rework,rework_time_min,final_pass,scrap,total_cycle_time_min,energy_kwh,cost_usd,warranty_claim_90d
M200011,2025-09-01 02:44:28,plant_2,line_C,day,MC108,OP1234,7.06,grade_A,10.6,46.9,116.7,vision,none,0,0,0.0,0,0,32.4,1.335,24.54,0
M200012,2025-12-05 23:54:48,plant_1,line_C,day,MC157,OP1263,4.37,grade_A,13.4,72.2,84.9,manual,none,0,0,0.0,1,0,26.6,1.211,20.17,0
M200013,2025-09-15 14:53:15,plant_1,line_C,day,MC118,OP1417,9.02,grade_C,5.8,49.6,96.9,sensor,none,0,0,0.0,1,0,32.6,1.346,29.69,0
M200014,2025-08-04 20:24:10,plant_1,line_D,swing,MC111,OP1097,10.7,grade_A,12.0,34.6,109.9,manual,none,0,0,0.0,1,0,34.7,1.425,26.28,0
M200015,2025-09-01 18:43:44,plant_1,line_B,swing,MC131,OP1317,8.77,grade_A,9.6,44.6,144.6,vision,dimension,1,1,25.8,1,0,55.3,1.885,41.81,0
M200016,2025-08-08 14:35:30,plant_1,line_D,swing,MC109,OP1226,0.2,grade_A,11.3,39.7,62.3,sensor,none,0,0,0.0,1,0,29.1,1.114,27.03,0
M200017,2025-08-04 16:38:11,plant_3,line_A,swing,MC124,OP1366,3.93,grade_A,14.5,24.6,127.8,vision,none,0,0,0.0,1,0,29.6,1.449,22.46,0
M200018,2025-12-31 04:18:50,plant_2,line_D,swing,MC112,OP1059,6.78,grade_A,16.8,53.9,148.8,manual,contamination,2,1,34.7,1,0,55.9,1.697,42.23,0
M200019,2026-01-01 03:21:39,plant_2,line_A,day,MC122,OP1029,5.8,grade_A,18.8,81.2,98.9,vision,none,0,0,0.0,0,0,28.2,1.351,21.39,0
M200020,2025-12-11 17:52:02,plant_1,line_C,day,MC119,OP1447,2.93,grade_A,17.0,71.6,93.4,sensor,none,0,0,0.0,1,0,19.3,1.088,19.67,0
M200021,2025-09-29 17:40:43,plant_3,line_A,night,MC157,OP1119,3.97,grade_B,13.1,61.4,120.6,manual,none,0,0,0.0,1,0,34.2,1.41,25.9,0
M200022,2025-11-07 20:28:16,plant_1,line_D,day,MC125,OP1319,9.85,grade_B,9.5,63.9,116.7,sensor,none,0,0,0.0,1,0,26.7,1.426,25.28,0
M200023,2025-12-22 06:02:31,plant_2,line_A,day,MC109,OP1431,7.63,grade_A,13.3,61.8,85.6,vision,none,0,1,4.0,1,0,33.7,1.339,25.52,0
M200024,2025-08-17 00:03:57,plant_3,line_C,night,MC142,OP1326,6.36,grade_A,16.6,54.1,128.8,sensor,none,0,1,11.9,1,0,43.9,1.615,38.22,0
M200025,2025-09-21 08:17:04,plant_1,line_A,day,MC152,OP1285,5.02,grade_A,9.1,46.3,102.1,sensor,none,0,0,0.0,1,0,28.0,1.267,26.23,0
M200026,2025-11-06 12:13:06,plant_2,line_C,swing,MC122,OP1342,0.96,grade_C,8.0,68.2,137.7,sensor,none,0,0,0.0,1,0,29.3,1.271,27.2,0
M200027,2025-09-12 18:28:42,plant_3,line_A,day,MC133,OP1207,4.67,grade_A,8.7,40.5,153.7,sensor,none,0,0,0.0,1,0,26.2,1.552,24.93,0
M200028,2025-08-11 00:12:28,plant_3,line_A,swing,MC158,OP1168,7.65,grade_A,13.8,32.6,131.1,vision,none,0,0,0.0,1,0,26.6,1.219,20.17,0
M200029,2026-01-08 01:23:24,plant_1,line_A,night,MC115,OP1083,10.02,grade_C,17.5,61.9,110.6,manual,none,0,0,0.0,1,0,29.1,1.316,22.06,0
M200030,2025-07-06 03:57:01,plant_1,line_C,day,MC141,OP1129,5.32,grade_B,17.7,35.5,111.5,sensor,none,0,0,0.0,1,0,30.6,1.432,28.21,0
M200031,2026-01-11 13:35:33,plant_1,line_D,swing,MC141,OP1339,14.67,grade_B,19.1,63.6,86.4,manual,none,0,0,0.0,1,0,27.9,1.208,21.14,0
M200032,2025-11-30 14:08:31,plant_3,line_A,day,MC103,OP1447,5.86,grade_A,14.4,62.5,125.5,vision,none,0,0,0.0,1,0,25.7,1.194,19.49,0
M200033,2025-08-01 19:01:15,plant_1,line_A,night,MC119,OP1446,2.5,grade_B,11.7,36.7,127.4,sensor,none,0,1,7.0,1,0,34.2,1.288,30.88,0
M200034,2025-11-15 23:35:47,plant_3,line_D,night,MC117,OP1355,12.86,grade_A,15.1,57.0,138.3,sensor,none,0,0,0.0,1,0,35.8,1.489,32.12,0
M200035,2025-07-09 22:51:32,plant_2,line_C,day,MC155,OP1192,7.23,grade_C,15.2,29.1,119.8,vision,none,0,0,0.0,1,0,29.9,1.451,22.69,0
M200036,2025-11-18 00:27:06,plant_1,line_B,swing,MC109,OP1062,5.93,grade_A,10.4,66.2,96.0,sensor,none,0,0,0.0,1,0,30.0,1.251,27.73,0
M200037,2025-11-19 17:36:16,plant_1,line_A,swing,MC140,OP1337,6.71,grade_A,8.7,61.2,114.9,manual,none,0,0,0.0,1,0,27.3,1.205,20.69,0
M200038,2025-10-24 13:50:41,plant_1,line_C,day,MC138,OP1410,7.96,grade_A,8.7,52.5,141.2,sensor,none,0,0,0.0,1,0,24.7,1.383,23.77,0
M200039,2025-08-23 01:19:19,plant_3,line_B,day,MC157,OP1000,2.39,grade_A,7.3,36.4,73.4,sensor,none,0,0,0.0,1,0,19.9,1.221,20.14,0
M200040,2025-09-14 03:10:52,plant_1,line_D,day,MC155,OP1185,1.58,grade_A,8.5,55.3,167.7,manual,contamination,2,1,33.5,1,0,67.0,2.086,50.63,0
M200041,2025-11-24 18:58:21,plant_1,line_A,day,MC130,OP1309,10.58,grade_A,17.6,59.4,146.9,vision,none,0,0,0.0,1,0,27.4,1.271,20.78,0
M200042,2025-11-16 03:55:40,plant_2,line_B,swing,MC107,OP1330,5.9,grade_A,12.6,69.3,173.2,manual,none,0,1,8.8,1,0,48.7,1.617,36.82,0
M200043,2025-10-09 04:10:47,plant_2,line_B,swing,MC105,OP1270,6.39,grade_B,6.2,51.8,89.9,vision,none,0,0,0.0,1,0,21.9,1.123,16.63,0
M200044,2025-09-28 07:01:09,plant_2,line_C,day,MC112,OP1121,9.69,grade_B,5.9,53.5,122.0,sensor,finish,1,1,22.5,1,0,45.2,1.697,39.21,0
M200045,2025-09-24 12:46:56,plant_1,line_D,swing,MC100,OP1241,8.07,grade_C,9.2,49.6,107.6,sensor,none,0,0,0.0,1,0,28.5,1.446,26.64,0
M200046,2025-08-22 08:22:13,plant_3,line_B,night,MC159,OP1304,3.41,grade_A,8.9,34.4,121.3,vision,none,0,0,0.0,1,0,21.5,1.229,16.35,0
M200047,2025-09-16 22:26:09,plant_2,line_A,swing,MC100,OP1284,7.36,grade_A,13.7,46.6,125.7,vision,none,0,0,0.0,1,0,27.8,1.49,21.12,0
M200048,2025-12-25 09:57:32,plant_1,line_A,night,MC121,OP1187,3.48,grade_A,18.7,62.7,160.0,vision,none,0,0,0.0,1,0,35.0,1.44,26.51,0
M200049,2025-11-22 11:56:15,plant_2,line_D,night,MC158,OP1237,3.41,grade_A,9.0,53.1,109.0,manual,none,0,1,11.8,1,0,38.7,1.431,29.28,0
M200050,2025-12-01 13:31:14,plant_1,line_C,night,MC134,OP1256,4.19,grade_C,9.7,54.1,123.8,vision,none,0,0,0.0,0,0,25.3,1.326,19.21,0
M200051,2025-12-08 18:26:55,plant_1,line_D,day,MC148,OP1104,5.49,grade_A,16.6,66.8,178.6,vision,none,0,0,0.0,1,0,31.1,1.476,23.59,0
M200052,2025-07-13 11:24:31,plant_1,line_C,day,MC146,OP1187,3.93,grade_A,19.8,53.9,150.8,vision,none,0,0,0.0,1,0,31.7,1.344,24.02,0
M200053,2025-10-24 19:26:39,plant_2,line_D,swing,MC123,OP1065,7.93,grade_C,7.9,64.6,138.6,manual,none,0,0,0.0,1,0,30.8,1.41,23.35,0
M200054,2025-12-24 10:38:28,plant_1,line_B,day,MC142,OP1203,1.89,grade_A,17.2,65.2,101.5,vision,none,0,0,0.0,1,0,29.4,1.199,22.27,0
M200055,2025-09-20 17:12:38,plant_2,line_D,swing,MC145,OP1167,6.28,grade_B,10.5,51.8,122.1,manual,none,0,0,0.0,1,0,34.1,1.366,25.82,0
M200056,2025-09-29 14:24:26,plant_3,line_D,swing,MC155,OP1446,7.95,grade_B,5.1,57.3,130.4,manual,none,0,1,11.8,1,0,47.3,1.6,35.76,0
M200057,2025-09-17 06:50:55,plant_2,line_C,day,MC158,OP1315,9.09,grade_A,5.6,48.7,118.8,sensor,scratch,2,1,34.4,1,0,63.4,1.804,52.87,0
M200058,2025-12-12 01:19:05,plant_2,line_B,day,MC146,OP1153,0.2,grade_A,13.8,75.0,112.9,sensor,none,0,0,0.0,1,0,32.4,1.373,29.55,0
M200059,2025-08-26 16:05:21,plant_1,line_C,swing,MC101,OP1309,7.48,grade_A,10.0,39.9,105.3,vision,none,0,0,0.0,1,0,28.1,1.354,21.32,0
M200060,2025-10-07 10:45:25,plant_2,line_B,swing,MC104,OP1255,8.72,grade_B,7.5,58.5,161.7,vision,none,0,0,0.0,1,0,36.4,1.573,27.58,0
M200061,2025-09-22 22:33:00,plant_1,line_A,swing,MC138,OP1174,6.38,grade_A,12.3,39.8,104.0,manual,none,0,0,0.0,1,0,34.4,1.313,26.04,0
M200062,2025-09-02 18:55:24,plant_2,line_A,day,MC140,OP1191,4.33,grade_B,7.2,36.7,96.9,manual,none,0,1,5.3,1,0,32.5,1.358,24.62,0
M200063,2025-11-12 01:49:49,plant_2,line_B,night,MC155,OP1004,8.86,grade_C,7.6,60.1,100.4,vision,none,0,0,0.0,1,0,29.5,1.149,22.33,0
M200064,2025-07-12 21:55:22,plant_1,line_C,day,MC104,OP1363,7.66,grade_A,18.2,34.0,148.5,sensor,crack,2,1,32.4,1,0,59.7,1.918,50.12,0
M200065,2025-09-17 19:51:11,plant_2,line_C,day,MC100,OP1049,11.67,grade_A,9.1,59.2,139.2,sensor,none,0,0,0.0,1,0,28.6,1.353,26.69,0
M200066,2025-08-07 06:39:15,plant_1,line_A,swing,MC114,OP1044,8.37,grade_B,14.2,33.8,122.0,sensor,none,0,0,0.0,0,0,31.1,1.335,28.57,0
M200067,2025-08-31 22:29:51,plant_2,line_D,night,MC112,OP1206,7.21,grade_A,7.5,45.3,106.0,manual,none,0,0,0.0,1,0,27.9,1.327,21.16,0
M200068,2025-12-21 06:01:27,plant_1,line_D,day,MC131,OP1124,5.47,grade_A,16.9,67.6,129.0,vision,none,0,0,0.0,1,0,33.9,1.347,25.67,0
M200069,2025-12-02 16:20:05,plant_1,line_B,day,MC119,OP1138,9.57,grade_B,14.7,63.3,152.6,vision,none,0,0,0.0,1,0,29.4,1.529,22.33,0
M200070,2025-10-17 20:43:22,plant_3,line_D,swing,MC105,OP1160,6.53,grade_B,13.5,56.9,84.7,manual,none,0,1,14.7,1,0,42.4,1.4,32.05,0
M200071,2025-12-10 11:41:51,plant_3,line_D,day,MC105,OP1018,7.71,grade_A,16.1,61.1,103.6,sensor,dimension,1,0,0.0,0,0,25.6,1.196,24.42,0
M200072,2025-09-12 22:05:20,plant_1,line_A,day,MC132,OP1234,6.32,grade_A,5.0,42.2,173.8,sensor,none,0,0,0.0,1,0,27.7,1.548,26.05,0
M200073,2025-09-26 16:52:42,plant_3,line_D,day,MC114,OP1189,4.79,grade_B,9.8,51.9,129.9,manual,none,0,1,12.2,1,0,47.9,1.619,36.22,0
M200074,2025-12-18 02:39:26,plant_1,line_B,swing,MC137,OP1309,10.38,grade_A,16.6,68.5,153.3,vision,none,0,0,0.0,1,0,34.7,1.633,26.32,0
M200075,2025-12-23 12:52:47,plant_1,line_B,night,MC134,OP1149,10.51,grade_B,18.7,67.1,146.1,vision,none,0,0,0.0,1,0,36.7,1.437,27.78,0
M200076,2025-11-08 07:54:30,plant_1,line_C,day,MC134,OP1355,3.8,grade_B,8.0,63.7,97.7,manual,dimension,3,1,54.3,1,0,84.7,2.136,63.91,0
M200077,2025-08-28 23:35:41,plant_1,line_B,day,MC127,OP1258,10.86,grade_A,7.5,36.9,117.8,vision,none,0,0,0.0,0,0,31.4,1.347,23.79,0
M200078,2025-09-07 18:58:22,plant_3,line_C,day,MC145,OP1079,8.06,grade_C,12.7,46.6,90.3,vision,none,0,0,0.0,1,0,23.5,1.229,17.85,0
M200079,2025-07-14 18:51:46,plant_3,line_C,night,MC159,OP1366,4.05,grade_B,18.4,41.0,119.2,vision,none,0,1,2.5,1,0,30.5,1.324,23.11,0
M200080,2025-12-26 03:14:24,plant_1,line_C,day,MC100,OP1143,0.2,grade_C,18.7,74.9,101.6,vision,none,0,0,0.0,1,0,28.3,1.274,21.45,0
M200081,2025-10-26 02:06:03,plant_1,line_A,day,MC102,OP1145,3.27,grade_A,9.2,54.2,113.3,vision,none,0,0,0.0,1,0,35.4,1.45,26.81,0
M200082,2025-10-16 13:10:40,plant_2,line_D,swing,MC133,OP1252,7.16,grade_B,5.0,66.0,109.3,vision,none,0,1,11.4,1,0,39.3,1.593,29.76,0
M200083,2025-10-23 17:10:11,plant_1,line_C,swing,MC103,OP1266,7.22,grade_B,11.2,60.2,94.7,vision,none,0,1,6.9,1,0,26.0,1.256,19.73,0
M200084,2025-09-28 03:36:55,plant_3,line_D,day,MC150,OP1407,4.18,grade_A,7.5,65.6,82.3,manual,none,0,0,0.0,1,0,24.7,1.308,18.76,0
M200085,2025-07-26 02:26:09,plant_1,line_B,day,MC135,OP1363,4.46,grade_A,12.9,42.3,76.2,vision,contamination,2,1,27.0,1,0,57.0,1.733,43.06,0
M200086,2025-10-20 07:06:03,plant_1,line_D,swing,MC113,OP1427,2.21,grade_B,5.1,56.1,163.3,vision,none,0,0,0.0,1,0,32.6,1.556,24.73,0
M200087,2025-10-05 08:09:04,plant_2,line_D,day,MC142,OP1372,7.73,grade_A,6.8,48.2,173.0,vision,none,0,0,0.0,1,0,34.8,1.516,26.37,0
M200088,2025-11-18 14:42:56,plant_3,line_C,day,MC142,OP1071,7.15,grade_B,12.5,56.9,96.2,manual,none,0,0,0.0,1,0,35.9,1.425,27.18,0
M200089,2025-08-24 12:55:43,plant_1,line_D,swing,MC155,OP1219,8.23,grade_B,11.3,41.0,188.7,vision,none,0,0,0.0,1,0,35.5,1.63,26.92,0
M200090,2025-12-13 17:19:48,plant_2,line_A,day,MC117,OP1072,12.86,grade_C,6.3,68.9,140.4,vision,none,0,0,0.0,1,0,27.2,1.3,20.63,0
M200091,2025-11-03 06:54:38,plant_2,line_B,day,MC124,OP1064,2.84,grade_B,8.2,49.8,116.4,manual,none,0,0,0.0,0,0,27.6,1.296,20.93,0
M200092,2025-11-14 14:33:55,plant_3,line_A,swing,MC107,OP1203,8.88,grade_A,12.5,66.3,139.1,vision,none,0,0,0.0,1,0,36.2,1.518,27.42,0
M200093,2025-11-03 21:29:24,plant_1,line_D,day,MC115,OP1351,5.57,grade_B,10.5,64.7,105.6,vision,none,0,0,0.0,1,0,28.2,1.305,21.38,0
M200094,2026-01-07 05:43:01,plant_2,line_D,day,MC113,OP1223,2.07,grade_B,17.9,60.2,127.5,manual,none,0,0,0.0,1,0,37.7,1.362,28.52,0
M200095,2025-11-01 02:22:07,plant_1,line_A,day,MC130,OP1306,4.45,grade_A,9.7,51.1,104.3,manual,none,0,0,0.0,1,0,27.0,1.292,20.48,0
M200096,2025-10-17 10:09:49,plant_2,line_C,swing,MC115,OP1400,1.43,grade_A,5.0,55.4,106.0,vision,none,0,0,0.0,1,0,24.5,1.196,18.59,0
M200097,2025-07-26 16:23:27,plant_3,line_A,day,MC103,OP1226,3.88,grade_B,17.0,41.4,123.6,vision,none,0,1,7.3,1,0,37.1,1.439,28.08,0
M200098,2025-10-06 22:20:00,plant_1,line_C,night,MC100,OP1152,6.18,grade_A,10.5,48.2,92.0,manual,dimension,1,0,0.0,0,0,26.5,1.258,20.1,0
M200099,2025-08-15 17:45:54,plant_2,line_B,night,MC123,OP1096,7.01,grade_A,11.4,38.2,117.6,vision,none,0,0,0.0,1,0,29.8,1.261,22.58,0
M200100,2025-08-15 23:20:23,plant_2,line_B,day,MC128,OP1065,1.07,grade_C,14.1,48.9,166.8,manual,none,0,0,0.0,1,0,31.4,1.51,23.82,0
M200101,2025-10-11 11:35:21,plant_1,line_B,night,MC122,OP1359,10.81,grade_B,12.4,60.2,125.1,vision,none,0,1,11.0,1,0,35.9,1.354,27.17,0
M200102,2025-12-28 08:49:07,plant_2,line_C,day,MC123,OP1049,5.2,grade_A,22.3,77.6,134.4,manual,none,0,0,0.0,1,0,33.2,1.487,25.17,0
M200103,2025-09-02 11:41:32,plant_1,line_D,day,MC131,OP1304,2.93,grade_B,10.2,48.3,89.7,manual,none,0,0,0.0,1,0,31.3,1.416,23.73,0
M200104,2025-12-06 04:18:35,plant_2,line_B,night,MC128,OP1152,10.0,grade_B,14.2,65.7,115.4,vision,none,0,0,0.0,1,0,29.1,1.26,22.05,0
M200105,2025-10-12 18:00:22,plant_1,line_C,swing,MC155,OP1362,8.41,grade_A,11.8,57.3,116.8,manual,none,0,0,0.0,1,0,31.4,1.374,23.8,0
M200106,2025-08-16 04:33:06,plant_1,line_D,swing,MC130,OP1418,3.86,grade_A,12.5,36.1,190.0,manual,scratch,1,0,0.0,1,0,34.6,1.566,26.23,0
M200107,2025-08-11 08:37:43,plant_3,line_D,day,MC130,OP1187,4.18,grade_A,18.2,42.4,116.1,vision,none,0,0,0.0,1,0,24.6,1.236,18.67,0
M200108,2025-11-04 12:00:21,plant_3,line_D,swing,MC105,OP1191,5.09,grade_A,9.6,52.0,148.1,vision,none,0,0,0.0,1,0,32.3,1.321,24.46,0
M200109,2025-09-20 03:00:25,plant_3,line_C,day,MC138,OP1363,8.38,grade_A,12.6,40.9,155.8,vision,none,0,0,0.0,1,0,29.0,1.428,22.01,0
M200110,2025-12-10 01:39:00,plant_3,line_C,day,MC103,OP1094,6.72,grade_A,19.6,55.0,107.8,manual,none,0,1,8.4,1,0,38.6,1.5,29.22,0
M200111,2025-12-05 09:22:13,plant_3,line_C,swing,MC142,OP1135,14.37,grade_B,15.9,71.3,97.2,sensor,none,0,0,0.0,1,0,23.1,1.163,22.53,0
M200112,2025-10-20 07:35:04,plant_1,line_A,night,MC132,OP1135,6.3,grade_A,8.0,52.4,127.2,manual,none,0,0,0.0,1,0,37.1,1.559,28.11,0
M200113,2025-10-31 03:29:01,plant_3,line_B,swing,MC102,OP1415,11.35,grade_C,10.6,48.1,113.1,vision,none,0,1,12.7,1,0,39.8,1.407,30.1,0
M200114,2025-09-14 17:47:23,plant_1,line_D,swing,MC153,OP1234,3.54,grade_A,9.8,43.5,102.9,sensor,none,0,0,0.0,1,0,28.6,1.221,26.67,0
M200115,2025-12-02 12:15:51,plant_3,line_D,day,MC151,OP1294,3.7,grade_B,15.7,71.7,142.4,vision,scratch,1,1,28.4,1,0,64.6,1.977,48.81,0
M200116,2025-08-18 14:02:24,plant_1,line_C,night,MC149,OP1286,6.56,grade_A,8.3,40.4,163.6,manual,scratch,2,1,21.0,0,1,54.9,1.82,101.5,0
M200117,2025-12-02 18:45:52,plant_2,line_C,day,MC106,OP1425,12.58,grade_A,9.1,65.6,98.4,vision,crack,1,1,23.4,1,0,55.3,1.642,41.77,0
M200118,2025-08-12 14:08:56,plant_1,line_D,swing,MC153,OP1124,4.05,grade_A,10.7,43.4,150.8,vision,scratch,3,1,52.6,0,0,85.3,2.123,64.36,0
M200119,2025-07-21 02:34:54,plant_2,line_A,swing,MC106,OP1075,8.1,grade_B,13.9,37.5,109.8,manual,dimension,1,1,16.2,1,0,39.1,1.467,29.59,0
M200120,2025-10-13 06:40:46,plant_1,line_A,night,MC100,OP1361,6.15,grade_A,9.7,59.2,105.2,manual,none,0,0,0.0,1,0,32.9,1.467,24.94,0
M200121,2025-08-18 21:29:37,plant_1,line_A,day,MC114,OP1216,8.31,grade_A,9.6,36.4,102.6,vision,none,0,0,0.0,1,0,34.5,1.302,26.11,0
M200122,2025-07-07 18:44:57,plant_1,line_C,swing,MC140,OP1445,3.72,grade_A,20.0,39.8,140.5,vision,none,0,0,0.0,0,0,27.6,1.203,20.92,0
M200123,2025-10-30 22:54:25,plant_3,line_C,day,MC148,OP1357,4.37,grade_A,8.9,65.6,150.6,manual,none,0,0,0.0,1,0,30.8,1.419,23.36,0
M200124,2025-07-02 22:43:09,plant_1,line_D,day,MC131,OP1010,4.14,grade_B,18.0,40.6,129.2,manual,none,0,0,0.0,1,0,35.9,1.578,27.21,0
M200125,2025-11-02 00:59:42,plant_2,line_C,swing,MC130,OP1322,11.6,grade_A,12.6,66.5,150.1,vision,none,0,0,0.0,0,0,31.9,1.526,24.2,0
M200126,2026-01-04 10:06:16,plant_1,line_B,day,MC112,OP1445,3.98,grade_A,15.6,71.2,121.7,vision,scratch,1,1,9.6,0,0,38.0,1.412,28.75,0
M200127,2025-09-30 01:53:27,plant_2,line_B,day,MC129,OP1030,0.97,grade_B,11.5,52.3,89.7,vision,dimension,2,0,0.0,1,0,29.1,1.268,22.05,0
M200128,2025-12-29 22:04:46,plant_2,line_A,day,MC125,OP1304,6.62,grade_B,19.3,61.6,154.9,manual,none,0,0,0.0,1,0,32.5,1.481,24.64,0
M200129,2026-01-11 06:02:53,plant_1,line_C,swing,MC105,OP1064,1.73,grade_B,23.8,59.9,121.6,manual,scratch,2,0,0.0,0,1,27.5,1.242,100.85,1
M200130,2025-09-20 14:54:51,plant_1,line_D,day,MC136,OP1209,6.12,grade_C,10.0,50.4,139.0,vision,crack,1,1,16.7,1,0,49.7,1.648,37.57,0
M200131,2025-11-20 06:27:29,plant_2,line_A,night,MC127,OP1434,11.4,grade_A,13.5,54.3,120.1,sensor,dimension,3,1,36.9,0,1,68.6,1.972,116.8,0
M200132,2025-10-28 03:55:48,plant_2,line_C,day,MC151,OP1342,1.09,grade_B,9.8,63.8,89.8,vision,none,0,0,0.0,1,0,26.1,1.228,19.8,0
M200133,2025-07-19 04:36:08,plant_3,line_A,day,MC135,OP1222,3.61,grade_B,13.4,41.9,95.4,sensor,crack,1,1,19.1,1,0,44.1,1.537,38.35,0
M200134,2025-12-25 14:18:56,plant_2,line_B,day,MC111,OP1242,2.64,grade_A,12.9,60.3,126.4,manual,none,0,1,5.6,1,0,38.8,1.464,29.36,0
M200135,2025-11-25 23:55:48,plant_2,line_C,night,MC108,OP1349,7.06,grade_B,9.7,64.7,96.3,vision,none,0,0,0.0,1,0,27.7,1.207,20.99,0
M200136,2025-09-13 21:24:24,plant_1,line_A,swing,MC116,OP1324,5.22,grade_B,6.4,40.6,129.6,manual,none,0,0,0.0,0,0,29.7,1.347,22.52,0
M200137,2025-09-01 10:39:06,plant_3,line_B,day,MC102,OP1383,3.32,grade_A,10.6,35.7,94.7,manual,none,0,0,0.0,0,0,27.9,1.169,21.14,0
M200138,2026-01-09 21:29:52,plant_2,line_B,day,MC132,OP1246,4.87,grade_A,17.5,68.1,99.1,sensor,none,0,0,0.0,1,0,30.9,1.368,28.42,0
M200139,2025-08-01 23:28:31,plant_1,line_D,swing,MC118,OP1246,6.57,grade_B,15.9,35.1,142.9,manual,none,0,0,0.0,1,0,35.3,1.319,26.71,0
M200140,2025-12-22 06:48:39,plant_1,line_B,swing,MC105,OP1112,0.44,grade_C,15.1,58.9,130.4,vision,none,0,0,0.0,1,0,30.8,1.467,23.36,0
M200141,2025-08-08 02:18:41,plant_1,line_B,day,MC150,OP1152,3.69,grade_A,10.6,38.3,96.6,vision,none,0,0,0.0,0,0,30.8,1.45,23.36,0
M200142,2025-12-14 09:36:35,plant_3,line_B,swing,MC100,OP1301,4.26,grade_A,18.5,64.2,121.0,sensor,none,0,0,0.0,1,0,26.6,1.218,25.17,0
M200143,2025-12-17 18:57:35,plant_1,line_B,swing,MC150,OP1266,12.29,grade_B,15.5,61.5,90.1,vision,none,0,0,0.0,1,0,31.9,1.398,24.18,0
M200144,2025-11-12 00:03:10,plant_1,line_C,day,MC156,OP1227,5.83,grade_B,12.5,62.6,132.7,vision,dimension,3,0,0.0,0,0,27.2,1.213,20.62,0
M200145,2025-10-20 22:09:28,plant_1,line_B,swing,MC111,OP1090,7.59,grade_B,10.7,52.7,68.4,manual,none,0,0,0.0,1,0,27.7,1.234,21.0,0
M200146,2026-01-09 22:14:58,plant_2,line_D,swing,MC135,OP1155,3.34,grade_B,18.2,71.6,135.1,vision,scratch,3,1,44.2,0,0,73.1,2.011,55.19,1
M200147,2025-09-22 06:44:23,plant_3,line_C,day,MC148,OP1029,6.42,grade_C,14.6,53.5,86.8,sensor,none,0,0,0.0,1,0,20.7,1.209,20.74,0
M200148,2025-10-18 13:20:30,plant_2,line_D,day,MC142,OP1221,2.03,grade_A,8.7,61.6,90.1,manual,none,0,0,0.0,1,0,27.3,1.089,20.67,0
M200149,2025-10-14 21:23:04,plant_1,line_D,night,MC101,OP1429,5.5,grade_B,9.1,64.2,126.1,manual,none,0,0,0.0,1,0,34.0,1.199,25.72,0
M200150,2025-09-16 00:28:14,plant_1,line_A,day,MC123,OP1025,9.54,grade_B,7.5,48.5,173.0,vision,none,0,0,0.0,1,0,31.6,1.446,23.96,0
M200151,2026-01-07 08:45:27,plant_2,line_C,night,MC143,OP1292,8.9,grade_C,20.1,57.6,168.6,manual,none,0,0,0.0,1,0,37.3,1.605,28.26,0
